x,y,id
-96.7382352,43.5003422,80245660
-96.7477673,43.4996587,80245698
-96.745468,43.4986638,80245736
-96.7475855,43.4986646,80245738
-96.7475525,43.4975059,80245739
-96.745333,43.4972383,80245744
-96.7474886,43.4953134,80245745
-96.71787,43.499908,80245983
-96.7168039,43.4999501,80246009
-96.7150149,43.5003398,80246054
-96.713576,43.499355,80246103
-96.712638,43.499842,80246107
-96.712146,43.49991,80246114
-96.7121258,43.5003424,80246118
-96.7111401,43.4972369,80246131
-96.7083695,43.4941635,80246480
-96.7068781,43.4940125,80246492
-96.80627,43.4979723,80247321
-96.8062691,43.4974983,80247342
-96.8086122,43.4969846,80247378
-96.800954,43.4924239,80247715
-96.800046,43.4904119,80247737
-96.799085,43.4913287,80247756
-96.7990695,43.4920228,80247758
-96.7991181,43.4924257,80247766
-96.8062768,43.4919157,80247787
-96.7402791,43.4751873,80248220
-96.8096644,43.4924505,80248395
-96.7853731,43.4986972,80248650
-96.7737687,43.4906568,80249016
-96.7721296,43.4903085,80249085
-96.7737754,43.4903102,80249087
-96.756539,43.4995386,80249114
-96.7528813,43.4995229,80249122
-96.7683,43.498945,80249129
-96.768226,43.499549,80249135
-96.7604262,43.4943387,80249455
-96.7601771,43.4943391,80249504
-96.763751,43.493753,80249570
-96.763847,43.493286,80249583
-96.7638884,43.4917782,80249587
-96.7692369,43.491138,80249595
-96.7683375,43.4911332,80249616
-96.707697,43.485142,80252653
-96.707699,43.485515,80252680
-96.827126,43.470122,80254786
-96.669982,43.465721,80254871
-96.7623759,43.4771521,80254993
-96.7645815,43.4771742,80255037
-96.757363,43.4975996,80255043
-96.757286,43.497977,80255044
-96.7871996,43.4853952,80257874
-96.702439,43.497198,80258052
-96.7035908,43.4973557,80258054
-96.7566603,43.4971876,80258094
-96.837798,43.475552,80258282
-96.80642,43.468165,80258343
-96.7439352,43.4971395,80259573
-96.7575374,43.4956278,80259603
-96.826541,43.50004,80262043
-96.7408432,43.4751914,80262235
-96.7405491,43.4751903,80262263
-96.7435417,43.474976,80262326
-96.7378414,43.4751788,80262332
-96.7275357,43.4770401,80262381
-96.826457,43.497222,80262610
-96.826445,43.496836,80262639
-96.826436,43.496492,80262656
-96.826397,43.494748,80262660
-96.826413,43.495469,80262667
-96.826396,43.494691,80262682
-96.826385,43.494232,80262702
-96.7113259,43.4895836,80262869
-96.7184088,43.4750647,80262897
-96.7237286,43.4889231,80262910
-96.723734,43.4896403,80262912
-96.7672184,43.4741682,80262962
-96.7275008,43.4712612,80263428
-96.707702,43.479962,80263458
-96.787173,43.478292,80263720
-96.787169,43.476959,80263728
-96.78717,43.477267,80263759
-96.78046,43.476888,80263765
-96.780461,43.476623,80263778
-96.7797754,43.4753585,80263785
-96.783427,43.475924,80263801
-96.782784,43.475397,80263838
-96.7076917,43.4746238,80263897
-96.6828052,43.4894269,80263936
-96.6877834,43.4800835,80263982
-96.6877896,43.4780257,80264013
-96.6877845,43.4771888,80264034
-96.6877834,43.4765309,80264088
-96.7757271,43.4753384,80264207
-96.787154,43.472349,80264230
-96.7638983,43.4900727,80264252
-96.7526004,43.4896316,80264305
-96.7699529,43.4788284,80264660
-96.7673074,43.4788077,80264665
-96.7623953,43.4789113,80264865
-96.7624084,43.4797873,80264869
-96.7424073,43.4881846,80265218
-96.7473124,43.4874488,80265244
-96.6610315,43.5003416,80265270
-96.826301,43.486457,80265568
-96.826302,43.486814,80265579
-96.826288,43.476556,80265580
-96.810441,43.4755242,80265634
-96.821219,43.4755332,80265639
-96.820678,43.4755332,80265664
-96.8063322,43.4887361,80265736
-96.8063262,43.4882089,80265754
-96.767271,43.4693591,80265887
-96.747342,43.470018,80265898
-96.747357,43.468521,80265902
-96.8007383,43.4754816,80266023
-96.8025606,43.475491,80266047
-96.8030257,43.4754982,80266051
-96.8063305,43.475524,80266054
-96.7813024,43.489906,80266099
-96.7076774,43.4684428,80266247
-96.7076686,43.466805,80266269
-96.707663,43.466251,80266287
-96.7721989,43.485622,80266342
-96.7733091,43.4856289,80266344
-96.7726135,43.4919416,80266366
-96.771911,43.4916714,80266390
-96.7721382,43.489829,80266399
-96.7721967,43.4826397,80266412
-96.7733294,43.4826453,80266458
-96.7699528,43.4796337,80266499
-96.6877583,43.4674244,80266664
-96.6877564,43.4663901,80266675
-96.7435883,43.4945996,80268133
-96.826362,43.493286,80269839
-96.7384541,43.4903616,80270539
-96.7357507,43.4837485,80273123
-96.7357691,43.4829041,80273127
-96.7467966,43.4941262,80276980
-96.730209,43.492476,80277010
-96.733209,43.492106,80277090
-96.736148,43.491799,80277111
-96.731206,43.491007,80277136
-96.710383,43.499856,80277140
-96.7034547,43.4993655,80277334
-96.7013018,43.4999072,80277362
-96.7018509,43.4989587,80277394
-96.7067626,43.5003361,80277401
-96.7072918,43.4984923,80277406
-96.7076795,43.4984946,80277409
-96.7076766,43.4978699,80277421
-96.699101,43.498118,80277429
-96.707684,43.4967046,80277439
-96.709149,43.4961352,80277443
-96.8062669,43.490781,80278634
-96.8000047,43.492411,80278717
-96.772933,43.498481,80279075
-96.7732891,43.5003329,80279085
-96.770154,43.498865,80279112
-96.768922,43.49888,80279119
-96.7798315,43.4997255,80279133
-96.7819192,43.4979362,80279148
-96.772236,43.4976741,80279158
-96.7724206,43.4979971,80279164
-96.77487,43.497132,80279169
-96.774948,43.497062,80279173
-96.7731825,43.4921628,80279241
-96.773653,43.4920525,80279289
-96.6877198,43.4984589,80279573
-96.76972,43.498896,80279594
-96.75522,43.49784,80279609
-96.7539319,43.4968757,80279633
-96.7560012,43.4964719,80279638
-96.7524459,43.4961987,80279666
-96.7535888,43.4985392,80279689
-96.7560833,43.4948047,80279693
-96.7304038,43.4951206,80280301
